iter	Passed	Remaining
819	3311	727
820	3315	722
821	3318	718
822	3322	714
823	3325	710
824	3329	706
825	3332	702
826	3336	697
827	3341	694
828	3344	689
829	3347	685
830	3351	681
831	3356	677
832	3359	673
833	3362	669
834	3366	665
835	3369	661
836	3373	656
837	3376	652
838	3379	648
839	3382	644
840	3386	640
841	3389	635
842	3392	631
843	3395	627
844	3400	623
845	3406	620
846	3410	616
847	3414	611
848	3417	607
849	3421	603
850	3424	599
851	3427	595
852	3430	591
853	3434	587
854	3437	582
855	3440	578
856	3444	574
857	3447	570
858	3452	566
859	3455	562
860	3459	558
861	3462	554
862	3466	550
863	3470	546
864	3473	542
865	3476	537
866	3479	533
867	3484	529
868	3487	525
869	3491	521
870	3494	517
871	3497	513
872	3501	509
873	3505	505
874	3508	501
875	3511	497
876	3516	493
877	3519	489
878	3523	485
879	3528	481
880	3533	477
881	3537	473
882	3541	469
883	3547	465
884	3553	461
885	3557	457
886	3565	454
887	3570	450
888	3573	446
889	3577	442
890	3581	438
891	3585	434
892	3588	430
893	3591	425
894	3596	421
895	3599	417
896	3602	413
897	3605	409
898	3609	405
899	3613	401
900	3616	397
901	3619	393
902	3622	389
903	3625	384
904	3629	380
905	3632	376
906	3635	372
907	3638	368
908	3641	364
909	3645	360
910	3648	356
911	3651	352
912	3654	348
913	3657	344
914	3661	340
915	3665	336
916	3668	332
917	3671	327
918	3674	323
919	3679	319
920	3682	315
921	3685	311
922	3688	307
923	3692	303
924	3695	299
925	3698	295
926	3701	291
927	3704	287
928	3708	283
929	3711	279
930	3714	275
931	3717	271
932	3720	267
933	3725	263
934	3729	259
935	3732	255
936	3735	251
937	3738	247
938	3742	243
939	3746	239
940	3749	235
941	3752	231
942	3756	227
943	3760	223
944	3763	219
945	3766	214
946	3769	210
947	3774	207
948	3777	202
949	3780	198
950	3783	194
951	3786	190
952	3791	186
953	3794	182
954	3797	178
955	3800	174
956	3803	170
957	3807	166
958	3810	162
959	3813	158
960	3815	154
961	3818	150
962	3822	146
963	3825	142
964	3828	138
965	3831	134
966	3834	130
967	3838	126
